Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 16.67      0.01     0.01   127694     0.00     0.00  bitvec::~bitvec()
 16.67      0.02     0.01    68091     0.00     0.00  term::ampl() const
 16.67      0.03     0.01    24073     0.00     0.00  bitvec::hashfunct() const
 16.67      0.04     0.01    22551     0.00     0.00  bitvec::setbits(int, int, unsigned long)
 16.67      0.05     0.01    22551     0.00     0.00  quSubString::unmap(bitvec const&) const
 16.67      0.06     0.01    11266     0.00     0.00  bitvec::operator&=(bitvec const&)
  0.00      0.06     0.00   124412     0.00     0.00  term::vect() const
  0.00      0.06     0.00    78914     0.00     0.00  bitvec::bitvec(bitvec const&)
  0.00      0.06     0.00    58906     0.00     0.00  bitvec::setlen(int)
  0.00      0.06     0.00    58906     0.00     0.00  bitvec::operator=(bitvec const&)
  0.00      0.06     0.00    48780     0.00     0.00  bitvec::bitvec(int, unsigned long)
  0.00      0.06     0.00    34043     0.00     0.00  quState::mapbits() const
  0.00      0.06     0.00    33814     0.00     0.00  quSubString::mapoffs() const
  0.00      0.06     0.00    33794     0.00     0.00  bitvec::length() const
  0.00      0.06     0.00    32766     0.00     0.00  std::complex<double>::imag() const
  0.00      0.06     0.00    32766     0.00     0.00  std::complex<double>::real() const
  0.00      0.06     0.00    26156     0.00     0.00  std::complex<double>::complex(double, double)
  0.00      0.06     0.00    25086     0.00     0.00  term::setvect(bitvec const&)
  0.00      0.06     0.00    24067     0.00     0.00  termlist::hashfunct1(bitvec const&) const
  0.00      0.06     0.00    24063     0.00     0.00  term::setampl(std::complex<double> const&)
  0.00      0.06     0.00    24063     0.00     0.00  termlist::add(bitvec const&, std::complex<double> const&)
  0.00      0.06     0.00    22551     0.00     0.00  bitvec::setbits(int, bitvec const&)
  0.00      0.06     0.00    22551     0.00     0.00  quBaseState::unmap(bitvec const&) const
  0.00      0.06     0.00    22528     0.00     0.00  bitvec::operator|=(bitvec const&)
  0.00      0.06     0.00    22527     0.00     0.00  quBaseState::opadd(bitvec const&, std::complex<double> const&)
  0.00      0.06     0.00    22526     0.00     0.00  quSubState::opadd(bitvec const&, std::complex<double> const&)
  0.00      0.06     0.00    22526     0.00     0.00  std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&)
  0.00      0.06     0.00    22526     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&)
  0.00      0.06     0.00    22526     0.00     0.00  operator|(bitvec const&, bitvec const&)
  0.00      0.06     0.00    21506     0.00     0.00  sDef::id() const
  0.00      0.06     0.00    14879     0.00     0.00  term::~term()
  0.00      0.06     0.00    11283     0.00     0.00  terminfo::~terminfo()
  0.00      0.06     0.00    11265     0.00     0.00  operator&(bitvec const&, bitvec const&)
  0.00      0.06     0.00    11263     0.00     0.00  term::term(term const&)
  0.00      0.06     0.00    11263     0.00     0.00  term::operator=(term const&)
  0.00      0.06     0.00    11263     0.00     0.00  terminfo::terminfo(terminfo const&)
  0.00      0.06     0.00    11263     0.00     0.00  quSubState::baseterm(int) const
  0.00      0.06     0.00    11263     0.00     0.00  quBaseState::map(bitvec const&) const
  0.00      0.06     0.00    11263     0.00     0.00  quBaseState::baseterm(int) const
  0.00      0.06     0.00    11263     0.00     0.00  quSubString::map(bitvec const&) const
  0.00      0.06     0.00    11263     0.00     0.00  bitvec::getbits(int, int) const
  0.00      0.06     0.00    11263     0.00     0.00  bitvec::getword() const
  0.00      0.06     0.00    11263     0.00     0.00  opMatrix::addterms(terminfo const&) const
  0.00      0.06     0.00    11263     0.00     0.00  termlist::operator[](int) const
  0.00      0.06     0.00    10246     0.00     0.00  bitvec::testeq(bitvec const&) const
  0.00      0.06     0.00    10246     0.00     0.00  operator==(bitvec const&, bitvec const&)
  0.00      0.06     0.00    10240     0.00     0.00  std::complex<double>& std::complex<double>::operator+=<double>(std::complex<double> const&)
  0.00      0.06     0.00    10240     0.00     0.00  std::complex<double> std::operator+<double>(std::complex<double> const&, std::complex<double> const&)
  0.00      0.06     0.00     6480     0.00     0.00  bool std::operator><char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.06     0.00     4160     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.06     0.00     3894     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.06     0.00     3616     0.00     0.00  term::term()
  0.00      0.06     0.00     2917     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      0.06     0.00     2346     0.00     0.00  yylex()
  0.00      0.06     0.00     1536     0.00     0.00  termlist::add(term const&)
  0.00      0.06     0.00     1488     0.00     0.00  tType::tType(BaseType)
  0.00      0.06     0.00     1110     0.00     0.00  sArgDef::object() const
  0.00      0.06     0.00     1068     0.00     0.00  tType::ord() const
  0.00      0.06     0.00     1029     0.00     0.00  tType::basetype() const
  0.00      0.06     0.00      889     0.00     0.00  sObject::parent() const
  0.00      0.06     0.00      852     0.00     0.00  tType::operator=(tType const&)
  0.00      0.06     0.00      830     0.00     0.00  std::_List_const_iterator<sObject*>::operator!=(std::_List_const_iterator<sObject*> const&) const
  0.00      0.06     0.00      786     0.00     0.00  std::_List_const_iterator<sObject*>::operator++()
  0.00      0.06     0.00      702     0.00     0.00  tValue::delpointer()
  0.00      0.06     0.00      702     0.00     0.00  tValue::ord() const
  0.00      0.06     0.00      702     0.00     0.00  tValue::basetype() const
