Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.00      0.01     0.01   110120     0.00     0.00  bitvec::setlen(int)
 10.00      0.02     0.01   110120     0.00     0.00  bitvec::operator=(bitvec const&)
 10.00      0.03     0.01    44553     0.00     0.00  bitvec::hashfunct() const
 10.00      0.04     0.01    44547     0.00     0.00  termlist::hashfunct1(bitvec const&) const
 10.00      0.05     0.01    44543     0.00     0.00  term::setampl(std::complex<double> const&)
 10.00      0.06     0.01    44543     0.00     0.00  termlist::add(bitvec const&, std::complex<double> const&)
 10.00      0.07     0.01    43006     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&)
 10.00      0.08     0.01    21503     0.00     0.00  opMatrix::addterms(terminfo const&) const
 10.00      0.09     0.01     3632     0.00     0.00  term::term()
 10.00      0.10     0.01       50     0.20     0.20  quSubString::newsubstring(int, int)
  0.00      0.10     0.00   240435     0.00     0.00  bitvec::~bitvec()
  0.00      0.10     0.00   237052     0.00     0.00  term::vect() const
  0.00      0.10     0.00   150629     0.00     0.00  bitvec::bitvec(bitvec const&)
  0.00      0.10     0.00   129531     0.00     0.00  term::ampl() const
  0.00      0.10     0.00    89806     0.00     0.00  bitvec::bitvec(int, unsigned long)
  0.00      0.10     0.00    64874     0.00     0.00  quState::mapbits() const
  0.00      0.10     0.00    64546     0.00     0.00  quSubString::mapoffs() const
  0.00      0.10     0.00    64516     0.00     0.00  bitvec::length() const
  0.00      0.10     0.00    63486     0.00     0.00  std::complex<double>::imag() const
  0.00      0.10     0.00    63486     0.00     0.00  std::complex<double>::real() const
  0.00      0.10     0.00    46658     0.00     0.00  std::complex<double>::complex(double, double)
  0.00      0.10     0.00    45566     0.00     0.00  term::setvect(bitvec const&)
  0.00      0.10     0.00    43043     0.00     0.00  bitvec::setbits(int, bitvec const&)
  0.00      0.10     0.00    43043     0.00     0.00  bitvec::setbits(int, int, unsigned long)
  0.00      0.10     0.00    43043     0.00     0.00  quBaseState::unmap(bitvec const&) const
  0.00      0.10     0.00    43043     0.00     0.00  quSubString::unmap(bitvec const&) const
