Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  8.88      0.43     0.43  1015807     0.00     0.00  opMatrix::addterms(terminfo const&) const
  6.82      0.76     0.33  7110802     0.00     0.00  bitvec::bitvec(bitvec const&)
  5.99      1.05     0.29  2096639     0.00     0.00  termlist::add(bitvec const&, std::complex<double> const&)
  4.96      1.29     0.24  2031614     0.00     0.00  std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&)
  4.96      1.53     0.24 11304875     0.00     0.00  bitvec::~bitvec()
  4.75      1.76     0.23  5176887     0.00     0.00  bitvec::operator=(bitvec const&)
  4.55      1.98     0.22  2031666     0.00     0.00  quSubString::unmap(bitvec const&) const
  4.44      2.20     0.22  4194073     0.00     0.00  bitvec::bitvec(int, unsigned long)
  4.34      2.41     0.21  5176887     0.00     0.00  bitvec::setlen(int)
  3.10      2.56     0.15  2031614     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&)
  3.10      2.71     0.15  2031614     0.00     0.00  quSubState::opadd(bitvec const&, std::complex<double> const&)
  2.69      2.84     0.13  2031666     0.00     0.00  bitvec::setbits(int, int, unsigned long)
  2.69      2.97     0.13       45     0.00     0.10  opElementary::apply(quState&) const
  2.58      3.09     0.13  2162257     0.00     0.00  std::complex<double>::complex(double, double)
  2.07      3.19     0.10  6127099     0.00     0.00  term::ampl() const
  2.07      3.29     0.10  1015807     0.00     0.00  quSubState::baseterm(int) const
  1.86      3.38     0.09  2096639     0.00     0.00  term::setampl(std::complex<double> const&)
  1.65      3.46     0.08  1015807     0.00     0.00  terminfo::terminfo(terminfo const&)
  1.65      3.54     0.08 11221957     0.00     0.00  term::vect() const
  1.45      3.61     0.07  1015807     0.00     0.00  term::term(term const&)
  1.45      3.68     0.07  2112476     0.00     0.00  bitvec::hashfunct() const
  1.45      3.75     0.07  1015807     0.00     0.00  term::operator=(term const&)
  1.45      3.82     0.07   983040     0.00     0.00  std::complex<double>& std::complex<double>::operator+=<double>(std::complex<double> const&)
  1.45      3.89     0.07       62     0.00     0.00  termlist::clear()
  1.24      3.95     0.06  2096653     0.00     0.00  termlist::hashfunct1(bitvec const&) const
  1.24      4.01     0.06  2031666     0.00     0.00  bitvec::setbits(int, bitvec const&)
  1.24      4.07     0.06  3047473     0.00     0.00  quSubString::mapoffs() const
  1.14      4.13     0.06  3014654     0.00     0.00  std::complex<double>::imag() const
  1.03      4.18     0.05  2031617     0.00     0.00  bitvec::operator|=(bitvec const&)
  1.03      4.23     0.05  2031614     0.00     0.00  operator|(bitvec const&, bitvec const&)
  1.03      4.28     0.05  1015810     0.00     0.00  operator&(bitvec const&, bitvec const&)
  0.83      4.32     0.04  3047906     0.00     0.00  quState::mapbits() const
  0.83      4.36     0.04  2031615     0.00     0.00  quBaseState::opadd(bitvec const&, std::complex<double> const&)
  0.83      4.40     0.04  1015807     0.00     0.00  quBaseState::map(bitvec const&) const
  0.72      4.43     0.04   983040     0.00     0.00  std::complex<double> std::operator+<double>(std::complex<double> const&, std::complex<double> const&)
  0.62      4.46     0.03  3047428     0.00     0.00  bitvec::length() const
  0.62      4.49     0.03  3014654     0.00     0.00  std::complex<double>::real() const
  0.62      4.52     0.03  1015807     0.00     0.00  quSubString::map(bitvec const&) const
  0.62      4.55     0.03                             bitvec::operator=(unsigned long)
  0.41      4.57     0.02  2129406     0.00     0.00  term::setvect(bitvec const&)
  0.41      4.59     0.02  2031666     0.00     0.00  quBaseState::unmap(bitvec const&) const
  0.41      4.61     0.02  1146430     0.00     0.00  term::~term()
  0.41      4.63     0.02  1015807     0.00     0.00  bitvec::getbits(int, int) const
  0.41      4.65     0.02   998863     0.00     0.00  bitvec::testeq(bitvec const&) const
  0.31      4.67     0.02        1     0.02     0.02  _GLOBAL__sub_I_qc_check_txt
  0.21      4.68     0.01  1015811     0.00     0.00  bitvec::operator&=(bitvec const&)
  0.21      4.69     0.01  1015807     0.00     0.00  quBaseState::baseterm(int) const
  0.21      4.70     0.01  1015807     0.00     0.00  bitvec::getword() const
  0.21      4.71     0.01   998863     0.00     0.00  operator==(bitvec const&, bitvec const&)
  0.21      4.72     0.01       67     0.00     0.00  quState::quState(int)
  0.21      4.73     0.01       46     0.00     0.00  quBaseState::opend()
  0.21      4.74     0.01       45     0.00     0.00  quSubState::opbegin()
  0.21      4.75     0.01       45     0.00     0.00  terminfo::terminfo()
  0.21      4.76     0.01       45     0.00     0.00  quBaseState::baseterms() const
  0.21      4.77     0.01       15     0.00     0.00  bitvec::operator[](int) const
  0.21      4.78     0.01        3     0.00     1.57  sRoutDef::invoke(SymTable*, SymTable*, QuHeap*, int)
  0.21      4.79     0.01                             term::term(bitvec const&, std::complex<double> const&)
  0.21      4.80     0.01                             bitvec::setbit(int, int)
  0.21      4.81     0.01                             opMatrix::~opMatrix()
  0.21      4.82     0.01                             bitvec::testless(bitvec const&) const
  0.21      4.83     0.01                             std::complex<double>& std::complex<double>::operator-=<double>(std::complex<double> const&)
  0.10      4.83     0.01                             std::complex<double>::imag()
  0.10      4.84     0.01                             std::pow(double, int)
  0.10      4.84     0.01                             bool std::operator==<double>(std::complex<double> const&, std::complex<double> const&)
  0.00      4.84     0.00  1015852     0.00     0.00  terminfo::~terminfo()
  0.00      4.84     0.00  1015807     0.00     0.00  termlist::operator[](int) const
  0.00      4.84     0.00   130623     0.00     0.00  term::term()
  0.00      4.84     0.00    65024     0.00     0.00  termlist::add(term const&)
  0.00      4.84     0.00    21585     0.00     0.00  sDef::id() const
  0.00      4.84     0.00    15823     0.00     0.00  termlist::hashfunct2(bitvec const&) const
  0.00      4.84     0.00     6504     0.00     0.00  bool std::operator><char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      4.84     0.00     4195     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      4.84     0.00     3912     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      4.84     0.00     2928     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      4.84     0.00     2354     0.00     0.00  yylex()
  0.00      4.84     0.00     1498     0.00     0.00  tType::tType(BaseType)
  0.00      4.84     0.00     1116     0.00     0.00  sArgDef::object() const
  0.00      4.84     0.00     1084     0.00     0.00  tType::ord() const
  0.00      4.84     0.00     1045     0.00     0.00  tType::basetype() const
  0.00      4.84     0.00      897     0.00     0.00  sObject::parent() const
  0.00      4.84     0.00      862     0.00     0.00  tType::operator=(tType const&)
  0.00      4.84     0.00      835     0.00     0.00  std::_List_const_iterator<sObject*>::operator!=(std::_List_const_iterator<sObject*> const&) const
  0.00      4.84     0.00      790     0.00     0.00  std::_List_const_iterator<sObject*>::operator++()
  0.00      4.84     0.00      712     0.00     0.00  tValue::delpointer()
  0.00      4.84     0.00      712     0.00     0.00  tValue::ord() const
  0.00      4.84     0.00      712     0.00     0.00  tValue::basetype() const
  0.00      4.84     0.00      677     0.00     0.00  tValue::~tValue()
  0.00      4.84     0.00      558     0.00     0.00  sList<sDef>::next(void*&) const
  0.00      4.84     0.00      545     0.00     0.00  tType::tType(tType const&)
  0.00      4.84     0.00      521     0.00     0.00  sObject::sObject(unsigned int)
  0.00      4.84     0.00      521     0.00     0.00  sObject::~sObject()
  0.00      4.84     0.00      460     0.00     0.00  tType::operator=(BaseType)
  0.00      4.84     0.00      457     0.00     0.00  sObject::setParent(sObject*)
  0.00      4.84     0.00      380     0.00     0.00  sDef::type() const
  0.00      4.84     0.00      379     0.00     0.00  sQuOpDef::object() const
  0.00      4.84     0.00      378     0.00     0.00  sObject::isValueDef() const
  0.00      4.84     0.00      372     0.00     0.00  SymTab::getentry(SymTable::entry*, std::string const&) const
  0.00      4.84     0.00      369     0.00     0.00  sObject::isDef() const
  0.00      4.84     0.00      369     0.00     0.00  sQuFunDef::object() const
  0.00      4.84     0.00      361     0.00     0.00  tValue::tValue()
  0.00      4.84     0.00      328     0.00     0.00  tValue::assign(tValue const&)
  0.00      4.84     0.00      326     0.00     0.00  SymTab::put(sDef*, tValue const&)
  0.00      4.84     0.00      312     0.00     0.00  sDef::sDef(tType const&, std::string*)
  0.00      4.84     0.00      312     0.00     0.00  sDef::~sDef()
  0.00      4.84     0.00      296     0.00     0.00  sObject::isFunctDef() const
  0.00      4.84     0.00      293     0.00     0.00  tValue::tValue(tValue const&)
  0.00      4.84     0.00      276     0.00     0.00  SymTab::putentry(SymTable::entry*, SymTable::entry*)
  0.00      4.84     0.00      269     0.00     0.00  sList<sDef>::append(sDef*)
  0.00      4.84     0.00      266     0.00     0.00  SymTab::getRef(std::string const&, ObjType*) const
  0.00      4.84     0.00      263     0.00     0.00  sArgDef::sArgDef(tType const&, std::string*)
  0.00      4.84     0.00      263     0.00     0.00  sArgDef::~sArgDef()
  0.00      4.84     0.00      263     0.00     0.00  sArgDef::~sArgDef()
  0.00      4.84     0.00      263     0.00     0.00  sObject::typecheck(SymTable*, SymTable*)
  0.00      4.84     0.00      263     0.00     0.00  tType::isQuReg() const
  0.00      4.84     0.00      257     0.00     0.00  sObject::isRoutDef() const
  0.00      4.84     0.00      178     0.00     0.00  sObject::setFlag(ObjFlag, int)
  0.00      4.84     0.00      177     0.00     0.00  sObject::isSet(ObjFlag) const
  0.00      4.84     0.00      175     0.00     0.00  sObject::def() const
  0.00      4.84     0.00      143     0.00     0.00  SymTab::getDef(std::string const&) const
